57.89.84.198;0;0;0;0;0;0;0;667379;5472586;15734029;10234618;1989619;0;0;0;0;0;0;0;0;0;0;0;0
57.89.84.195;0;0;0;0;0;0;0;10473531;29119536;16275261;10288663;13195608;11919581;5605482;9016138;5876494;84534;0;0;0;0;0;0;0
57.89.84.194;0;0;0;0;0;0;0;114464;34786;54012;44116;51574;1275520;45307;57046;37675;3737;0;0;0;0;0;0;0
57.89.84.192;0;0;0;0;0;0;0;0;531035;2756470;2241040;1951488;2914163;341825;2235621;1557811;1423923;0;0;0;0;0;0;0
57.89.84.193;0;0;0;0;0;0;0;2293855;6462554;1879071;3003631;1706892;1738316;2425754;0;0;0;0;0;0;0;0;0;0
57.89.84.182;0;0;0;0;0;0;594614;24341;497498;1508529;296966;29138;930279;41545;0;0;0;0;0;0;0;0;0;0
57.89.138.115;0;0;0;0;0;0;0;0;0;0;0;0;0;1622614;2650486;1717508;1736577;1820881;1189395;486315;2351129;185124;0;0
57.89.138.114;0;0;0;0;0;0;0;0;133393;59714;151668780;2769787;3754323;14266482;84981;4839739;229519;711134;60239;25579;0;0;0;0
57.89.84.131;0;0;0;0;0;0;0;0;634956;3139940;2035566;12724;0;0;0;0;0;0;0;0;0;0;0;0
57.89.84.130;0;0;0;0;0;0;0;0;0;6058;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57.89.84.135;792;196;196;150;524;196;196;3611;1750;1121;740;1857;3970;1373;1155;252;196;196;524;196;252;196;640;308
57.89.84.134;0;0;0;0;0;0;0;0;0;2315950;174070;15597408;649622;15396;166306;57585;0;0;0;0;0;0;0;0
57.89.84.137;0;0;0;0;0;0;8458;171868;847158;2025873;498455;270556;33733;1603;16449;1547;1603;18589;1599;1557;16541;1599;3835;1603
57.89.84.140;0;0;0;0;0;0;0;0;48744;412;524;412;412;412;412;412;0;0;0;0;0;0;0;0
57.89.84.143;0;0;0;0;0;0;0;154;0;0;0;0;0;0;0;0;0;0;0;240;48;0;0;0
57.89.84.142;0;0;0;0;0;0;0;75310;630;9895;4290;546;454;454;500;454;618;0;0;0;0;0;0;0
